id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
24091163,316319260,365061591,53.9561890787,1,1,0,2,0,"LINESTRING(-87.7472430 41.9506786, -87.7478946 41.9506692)"
24091163,365061591,261221609,155.7327163103,1,1,0,2,0,"LINESTRING(-87.7478946 41.9506692, -87.7497755 41.9506513)"
24091163,261221609,261210230,1011.286291158,1,1,0,2,0,"LINESTRING(-87.7497755 41.9506513, -87.7521353 41.9506086, -87.7546169 41.9505603, -87.7570699 41.9505472, -87.7595346 41.9505391, -87.7619884 41.9505021)"
24094940,261241126,261241127,162.5236812462,1,1,1,2,2,"LINESTRING(-87.7238622 41.9504196, -87.7238832 41.9518795)"
24094945,261241138,261181606,202.4658714769,1,1,0,2,0,"LINESTRING(-87.7236307 41.9464287, -87.7236876 41.9482470)"
24094945,261181606,261160348,51.2446720607,1,1,0,2,0,"LINESTRING(-87.7236876 41.9482470, -87.7236959 41.9487073)"
24094948,313441061,261178109,608.8735401873,1,1,0,2,0,"LINESTRING(-87.7235094 41.9391466, -87.7235236 41.9395953, -87.7235527 41.9405151, -87.7235669 41.9409622, -87.7236237 41.9427845, -87.7236713 41.9446149)"
24098161,261178108,313441054,609.5928693294,1,1,0,2,0,"LINESTRING(-87.7224526 41.9446304, -87.7224034 41.9428009, -87.7223542 41.9409759, -87.7223178 41.9396233, -87.7223052 41.9391554)"
24098176,261262176,261262173,35.5858334806,1,1,1,2,2,"LINESTRING(-87.7225961 41.9497614, -87.7226054 41.9500810)"
24098176,261262173,261262171,203.0935171011,1,1,1,2,2,"LINESTRING(-87.7226054 41.9500810, -87.7226587 41.9519050)"
24099244,261268640,5495409527,4.7602049931,1,1,1,2,2,"LINESTRING(-87.7445560 41.9564996, -87.7446135 41.9565000)"
24099244,5495409527,2185494998,49.8286118859,1,1,1,2,2,"LINESTRING(-87.7446135 41.9565000, -87.7452154 41.9565038)"
24099244,2185494998,261195089,38.1419820555,1,1,1,2,2,"LINESTRING(-87.7452154 41.9565038, -87.7456761 41.9564988)"
24099244,261195089,2185494811,87.4235026473,1,1,1,2,2,"LINESTRING(-87.7456761 41.9564988, -87.7467321 41.9564903)"
24099244,2185494811,2185494955,9.3217421884,1,1,1,2,2,"LINESTRING(-87.7467321 41.9564903, -87.7468447 41.9564895)"
24099244,2185494955,2185494915,19.6537193801,1,1,1,2,2,"LINESTRING(-87.7468447 41.9564895, -87.7470821 41.9564876)"
24099244,2185494915,369630899,26.2353927747,1,1,1,2,2,"LINESTRING(-87.7470821 41.9564876, -87.7473990 41.9564850)"
24099812,261139143,5495425312,159.0531128738,1,1,1,2,2,"LINESTRING(-87.7427273 41.9425447, -87.7427671 41.9439732)"
24099812,5495425312,261178093,83.4625478136,1,1,1,2,2,"LINESTRING(-87.7427671 41.9439732, -87.7427880 41.9447228)"
24099812,261178093,5495430643,143.476081872,1,1,1,2,2,"LINESTRING(-87.7427880 41.9447228, -87.7428067 41.9460116)"
24099812,5495430643,317749252,18.0792724847,1,1,1,2,2,"LINESTRING(-87.7428067 41.9460116, -87.7428091 41.9461740)"
24099817,261272306,5495409114,122.0923049723,1,1,1,2,2,"LINESTRING(-87.7429318 41.9556659, -87.7434622 41.9566893)"
24099817,5495409114,369630790,477.2188795567,1,1,1,2,2,"LINESTRING(-87.7434622 41.9566893, -87.7439801 41.9576888, -87.7440578 41.9578387, -87.7441295 41.9579772, -87.7445194 41.9587294, -87.7447175 41.9591118, -87.7450668 41.9597858, -87.7450859 41.9607542)"
24100284,261194267,2401855285,35.2961146125,1,1,0,2,0,"LINESTRING(-87.7409677 41.9534985, -87.7409586 41.9531815)"
24100284,2401855285,2401855235,28.6713264775,1,1,0,2,0,"LINESTRING(-87.7409586 41.9531815, -87.7409511 41.9529240)"
24100284,2401855235,2401855408,38.6476391047,1,1,0,2,0,"LINESTRING(-87.7409511 41.9529240, -87.7409411 41.9525769)"
24100284,2401855408,261128271,38.291501396,1,1,0,2,0,"LINESTRING(-87.7409411 41.9525769, -87.7409311 41.9522330)"
24100284,261128271,2401855354,28.7680108352,1,1,0,2,0,"LINESTRING(-87.7409311 41.9522330, -87.7409259 41.9519746)"
24100284,2401855354,261275063,32.2638989159,1,1,0,2,0,"LINESTRING(-87.7409259 41.9519746, -87.7409200 41.9516848)"
24100284,261275063,261275059,207.3715790387,1,1,0,2,0,"LINESTRING(-87.7409200 41.9516848, -87.7409012 41.9505837, -87.7405280 41.9498744)"
24100284,261275059,261164813,102.8508730265,1,1,0,2,0,"LINESTRING(-87.7405280 41.9498744, -87.7400753 41.9490140)"
24100285,261268586,2185494947,342.2626651547,1,1,1,2,2,"LINESTRING(-87.7406315 41.9571174, -87.7405423 41.9540435)"
